ticker,name,sector,industry,price,week_52_low,week_52_high,market_cap,ebitda,eps,pe_ratio,price_to_sales,book_value_per_share,dividend_yield,sec_filings,revenue_ttm,debt_to_equity,levered_fcf,roa
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,151.52,124.16,155.35,43273355264,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=A,,,,
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",236.0,164.08,260.1,3572851277824,134660997120,6.25,37.76,9.1369095,3.7670000041341227,0.0042,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAPL,,,,
ABBV,AbbVie,Health Care,Biotechnology,183.9,153.58,207.32,324977033216,25629999104,2.86,64.3006993006993,5.8519626,3.4130003205139507,0.0373,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABBV,,,,
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",131.17,110.38,170.1,81951334400,1672999936,2.89,45.38754325259515,7.560086,13.303999689231873,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABNB,,,,
ABT,Abbott Laboratories,Health Care,Health Care Equipment,127.93,99.71,129.85,221889478656,10824999936,7.64,16.74476439790576,5.3834457,22.94400103419282,0.0202,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABT,,,,
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,93.07,80.97,116.47,35584942080,5171999744,14.66,6.34856753069577,2.1097374,57.23400072306584,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACGL,,,,
ACN,Accenture,Information Technology,IT Consulting & Other Services,384.95,278.69,387.51,240778526720,11065912320,11.92,32.294463087248324,3.7101948,45.24199797219007,0.017,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACN,,,,
ADBE,Adobe Inc.,Information Technology,Application Software,437.45,403.75,638.25,190421991424,8134000128,12.35,35.421052631578945,9.090657,32.685000502472576,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADBE,,,,
ADI,Analog Devices,Information Technology,Semiconductors,211.89,182.57,244.14,105128370176,4361349120,3.27,64.79816513761467,10.837489,70.87699925470271,0.0165,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADI,,,,
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,51.23,48.4,66.08,24515297280,3988000000,3.56,14.390449438202246,0.27617267,47.041003355309975,0.0379,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADM,,,,
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,303.01,231.27,311.67,123285987328,5733100032,9.58,31.629436325678494,6.3149424,11.142999386088803,0.020599999,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADP,,,,
ADSK,Autodesk,Information Technology,Application Software,311.34,195.32,326.62,67096567808,1396000000,5.02,62.0199203187251,11.55841,8.668000062363717,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADSK,,,,
AEE,Ameren,Utilities,Multi-Utilities,94.2,67.03,96.74,25144616960,3264000000,4.25,22.16470588235294,3.5625699,44.33500319099068,0.028499998,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AEE,,,,
AEP,American Electric Power,Utilities,Electric Utilities,98.36,75.22,105.18,52383092736,7258299904,4.96,19.830645161290324,2.6723068,49.988996931846536,0.0379,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AEP,,,,
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,11.0,10.81,22.21,7821297152,3334000128,1.44,7.638888888888889,0.63670605,4.627000068101029,0.0615,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AES,,,,
AFL,Aflac,Financials,Life & Health Insurance,107.38,75.44,115.5,59652595712,4779250176,6.73,15.955423476968795,3.4477284,44.60100253816172,0.0214,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AFL,,,,
AIG,American International Group,Financials,Multi-line Insurance,73.66,67.96,80.83,45946826752,8501000192,5.03,14.644135188866798,1.0143012,71.45799335167091,0.0212,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AIG,,,,
AIZ,Assurant,Financials,Multi-line Insurance,215.19,160.12,230.55,11036535808,1241900032,13.99,15.381701215153681,0.93881625,102.29099699472957,0.0146,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AIZ,,,,
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,301.82,230.08,316.72,75395547136,3382200064,6.49,46.50539291217257,7.067648,55.53299996360603,0.0087,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AJG,,,,
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,99.9,84.7,129.17,15007678464,1118397952,3.38,29.55621301775148,3.7838497,31.82799957868522,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AKAM,,,,
ALB,Albemarle Corporation,Materials,Specialty Chemicals,84.19,71.97,143.19,9895693312,-935078016,-16.76,-5.02326968973747,1.5219512,68.1099933920605,0.0189,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALB,,,,
ALGN,Align Technology,Health Care,Health Care Supplies,219.11,196.09,335.4,16357241856,820153984,5.86,37.39078498293515,4.1300755,52.76200461423729,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALGN,,,,
ALL,Allstate,Financials,Property & Casualty Insurance,192.33,153.87,209.88,50929561600,6192999936,15.47,12.432449903038139,0.8157605,71.23000399018386,0.019,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALL,,,,
ALLE,Allegion,Industrials,Building Products,132.73,113.27,156.1,11538124800,888400000,6.5,20.419999999999998,3.098315,18.073000406598254,0.014400001,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALLE,,,,
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,180.35,158.96,255.89,147683934208,8204000256,8.55,21.093567251461987,5.499513,22.85300051660326,0.0086,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMAT,,,,
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,9.72,8.78,11.48,14092055552,1904000000,0.53,18.339622641509433,1.0400041,2.7129999421115034,0.0523,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMCR,,,,
AMD,Advanced Micro Devices,Information Technology,Semiconductors,115.95,112.8,227.3,192886292480,4479000064,1.1,105.4090909090909,7.939341,35.111001789404426,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMD,,,,
AME,Ametek,Industrials,Electrical Components & Equipment,184.56,149.03,198.33,42690203648,2138388992,5.75,32.09739130434782,6.1776185,41.2879994559362,0.006,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AME,,,,
AMGN,Amgen,Health Care,Biotechnology,285.42,253.3,346.85,153422675968,12247000064,7.88,36.22081218274112,4.7157645,14.003999740939253,0.0335,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMGN,,,,
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,543.36,381.99,577.89,52271230976,,24.93,21.79542719614922,2.9963448,58.78400329924354,0.010299999,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMP,,,,
AMT,American Tower,Real Estate,Telecom Tower REITs,184.95,170.46,243.56,86425100288,6966099968,4.14,44.67391304347826,7.7388453,7.793000381412487,0.0349,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMT,,,,
AMZN,Amazon,Consumer Discretionary,Broadline Retail,237.68,151.61,241.77,2499205136384,111583002624,4.73,50.24947145877378,4.030144,24.655000630171358,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMZN,,,,
ANET,Arista Networks,Information Technology,Communications Equipment,115.23,60.08,133.575,145162141696,2833341952,2.08,55.39903846153846,21.950539,29.365997966475362,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ANET,,,,
AON,Aon,Financials,Insurance Brokers,370.82,268.06,395.33,80195756032,4295000064,11.69,31.721129170230967,5.37289,28.840998924276317,0.0073,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AON,,,,
AOS,A. O. Smith,Industrials,Building Products,67.3,66.76,92.45,9758164992,809100032,3.63,18.53994490358127,2.5060778,13.218999139095494,0.0196,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AOS,,,,
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,21.93,20.32,36.05,8112937984,5047000064,7.04,3.1150568181818183,0.9059674,13.82499896454351,0.0435,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APA,,,,
APD,Air Products,Materials,Industrial Gases,335.26,212.24,337.775,74554785792,4296600064,17.22,19.469221835075494,6.1612473,76.53399571787659,0.0214,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APD,,,,
APH,Amphenol,Information Technology,Electronic Components,70.78,51.025,79.39,85333073920,3586299904,1.92,36.864583333333336,5.9956913,7.841999769770054,0.0091,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APH,,,,
APO,,Financials,Asset Management & Custody Banks,,,,,,,,,,,,,,,
APP,,Information Technology,Application Software,,,,,,,,,,,,,,,
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,62.42,51.47,85.56,14786111488,3032999936,8.91,7.005611672278339,0.74961275,37.797002725538114,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APTV,,,,
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,97.35,94.35,130.14,16850505728,1905123968,1.8,54.08333333333333,5.461276,105.76600171159485,0.051999997,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ARE,,,,
ARES,,Financials,Asset Management & Custody Banks,,,,,,,,,,,,,,,
ATO,Atmos Energy,Utilities,Gas Utilities,142.51,110.46,152.65,22180255744,1991972992,6.83,20.86530014641288,5.416576,78.4850031741514,0.023699999,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ATO,,,,
AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,221.51,169.37,239.29,31506915328,1808050944,7.32,30.260928961748633,10.767874,83.66699786977952,0.0309,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AVB,,,,
AVGO,Broadcom,Information Technology,Semiconductors,221.27,119.756,251.88,1037172146176,22958000128,1.29,171.52713178294573,22.154697,59.22099883961422,0.0117,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AVGO,,,,
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,185.73,181.99,233.48,14922736640,1416300032,8.72,21.2993119266055,1.7191103,29.760001999702926,0.0182,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AVY,,,,
AWK,American Water Works,Utilities,Water Utilities,124.64,113.34,150.68,24291588096,2408000000,5.05,24.681188118811882,5.380197,53.16700274263929,0.0247,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AWK,,,,
AXON,Axon Enterprise,Industrials,Aerospace & Defense,652.18,251.13,698.67,49731854336,183220000,3.86,168.95854922279793,25.629044,27.59900037942383,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AXON,,,,
AXP,American Express,Financials,Consumer Finance,317.45,203.0,326.27,223902892032,,13.94,22.772596843615496,3.7796535,42.19699810462436,0.0086,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AXP,,,,
AZO,AutoZone,Consumer Discretionary,Automotive Retail,3350.21,2672.31,3437.63,56223895552,4338463232,149.46,22.415428877291582,3.040729,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AZO,,,,
BA,Boeing,Industrials,Aerospace & Defense,176.52,137.03,213.77,132251615232,-3991000064,-18.37,-9.609145345672292,1.8044237,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BA,,,,
